Feature,Instance,LocX,LocY,Checkin
A,211,765238.55,744494.66,1804
A,211,765238.55,744494.66,1804
A,212,654383.84,1025011.28,1101
A,212,654383.84,1025011.28,1101
A,213,1062812.82,941688.34,4034
A,213,1062812.82,941688.34,4034
A,214,981693.26,857267.54,663
A,214,981693.26,857267.54,663
A,215,908756.49,880913.53,189
A,215,908756.49,880913.53,189
A,216,1087831.2,931115.24,1041
A,216,1087831.2,931115.24,1041
A,217,929193.98,744684.12,1155
A,217,929193.98,744684.12,1155
A,218,956242.74,785178.94,992
A,218,956242.74,785178.94,992
A,219,894923.6,884728.49,1958
A,219,894923.6,884728.49,1958
A,220,669330.49,941228.08,512
A,220,669330.49,941228.08,512
A,221,962810.58,836998.67,1567
A,221,962810.58,836998.67,1567
A,222,950955.72,1034517.77,4896
A,222,950955.72,1034517.77,4896
A,223,964260.7,816901.71,2535
A,223,964260.7,816901.71,2535
A,224,854869.46,825158.19,4818
A,224,854869.46,825158.19,4818
A,225,476646.75,656460.39,1599
A,225,476646.75,656460.39,1599
A,226,979029.15,776034.17,3012
A,226,979029.15,776034.17,3012
A,227,1300756.41,883035.11,5923
A,227,1300756.41,883035.11,5923
A,228,1149612.56,906552.41,618
A,228,1149612.56,906552.41,618
A,229,879539.24,924686.45,105
A,229,879539.24,924686.45,105
A,230,1084684.83,967247.47,7141
A,230,1084684.83,967247.47,7141
A,231,1073659.72,887381.95,2062
A,231,1073659.72,887381.95,2062
A,232,669260.33,537144.88,589
A,232,669260.33,537144.88,589
A,233,867451.6,631945.74,1675
A,233,867451.6,631945.74,1675
A,234,907492.37,748163.48,1677
A,234,907492.37,748163.48,1677
A,235,831302.31,1041391.83,451
A,235,831302.31,1041391.83,451
A,236,798039.88,662602.38,1245
A,236,798039.88,662602.38,1245
A,237,950641.64,770073.67,3971
A,237,950641.64,770073.67,3971
A,238,843220.65,994775.13,924
A,238,843220.65,994775.13,924
A,239,967227.75,667683.25,4243
A,239,967227.75,667683.25,4243
A,240,943658.37,657366.68,327
A,240,943658.37,657366.68,327
A,241,1114907.81,979276.31,1228
A,241,1114907.81,979276.31,1228
A,242,972420.1,740123.17,3132
A,242,972420.1,740123.17,3132
A,243,879283.07,818768.85,5038
A,243,879283.07,818768.85,5038
A,244,439312.42,665024.41,987
A,244,439312.42,665024.41,987
A,245,1053549.68,754805.75,4143
A,245,1053549.68,754805.75,4143
A,246,857227.29,784689.01,7706
A,246,857227.29,784689.01,7706
A,247,833025.3,828343.24,1068
A,247,833025.3,828343.24,1068
A,248,948937.59,759739.67,336
A,248,948937.59,759739.67,336
A,249,870589.07,769195.72,1524
A,249,870589.07,769195.72,1524
A,250,1261821.6,874845.61,3584
A,250,1261821.6,874845.61,3584
A,251,898289.38,884472.72,2859
A,251,898289.38,884472.72,2859
A,252,1090660.15,985155.32,1144
A,252,1090660.15,985155.32,1144
A,253,876962.0,1001930.23,725
A,253,876962.0,1001930.23,725
A,254,1068018.53,981733.57,5721
A,254,1068018.53,981733.57,5721
A,255,1079199.56,957662.46,1531
A,255,1079199.56,957662.46,1531
A,256,1149708.34,855474.99,1095
A,256,1149708.34,855474.99,1095
A,257,1167505.1,1022187.51,1683
A,257,1167505.1,1022187.51,1683
A,258,658016.92,1050047.4,3563
A,258,658016.92,1050047.4,3563
A,259,777283.86,840793.18,402
A,259,777283.86,840793.18,402
A,260,641165.74,839227.44,449
A,260,641165.74,839227.44,449
A,261,1191632.47,926154.41,170
A,261,1191632.47,926154.41,170
A,262,1163180.37,1009954.83,5298
A,262,1163180.37,1009954.83,5298
A,263,929188.41,867785.94,1237
A,263,929188.41,867785.94,1237
A,264,854437.32,818504.79,411
A,264,854437.32,818504.79,411
A,265,803302.4,774640.39,4400
A,265,803302.4,774640.39,4400
A,266,1050724.08,1051989.58,459
A,266,1050724.08,1051989.58,459
A,267,1107144.9,1049366.47,3494
A,267,1107144.9,1049366.47,3494
A,268,635529.0,1092211.85,7435
A,268,635529.0,1092211.85,7435
A,269,1079267.5,950320.73,1345
A,269,1079267.5,950320.73,1345
A,270,778729.52,901618.53,933
A,270,778729.52,901618.53,933
A,271,695825.72,528890.0,2070
A,271,695825.72,528890.0,2070
A,272,1091455.37,1019155.43,2741
A,272,1091455.37,1019155.43,2741
A,273,1035189.36,858514.71,800
A,273,1035189.36,858514.71,800
A,274,950588.18,802531.97,606
A,274,950588.18,802531.97,606
A,275,1046902.77,989771.68,3686
A,275,1046902.77,989771.68,3686
A,276,984557.85,833143.69,1533
A,276,984557.85,833143.69,1533
A,277,817539.59,989023.17,952
A,277,817539.59,989023.17,952
A,278,820122.39,871140.79,2171
A,278,820122.39,871140.79,2171
A,279,715502.51,651027.83,582
A,279,715502.51,651027.83,582
A,280,1236137.19,925104.88,1337
A,280,1236137.19,925104.88,1337
A,281,1094931.42,977801.61,213
A,281,1094931.42,977801.61,213
A,282,923715.39,851433.62,5289
A,282,923715.39,851433.62,5289
A,283,1163633.67,994487.43,785
A,283,1163633.67,994487.43,785
A,284,1232891.7,954073.06,6715
A,284,1232891.7,954073.06,6715
A,285,668607.66,600066.37,5495
A,285,668607.66,600066.37,5495
A,286,637460.26,1031657.01,3179
A,286,637460.26,1031657.01,3179
A,287,1105554.46,1019231.93,4649
A,287,1105554.46,1019231.93,4649
A,288,644667.4,1092745.63,6357
A,288,644667.4,1092745.63,6357
A,289,995982.79,837410.3,8910
A,289,995982.79,837410.3,8910
A,290,1041248.21,1009511.46,575
A,290,1041248.21,1009511.46,575
A,291,648994.36,851574.36,1756
A,291,648994.36,851574.36,1756
A,292,1001615.08,697919.95,1170
A,292,1001615.08,697919.95,1170
A,293,752337.88,967384.2,1365
A,293,752337.88,967384.2,1365
A,294,1049444.37,974328.24,30
A,294,1049444.37,974328.24,30
A,295,718195.58,1012399.98,6927
A,295,718195.58,1012399.98,6927
A,296,858738.66,766700.39,1822
A,296,858738.66,766700.39,1822
A,297,653733.4,1093898.9,203
A,297,653733.4,1093898.9,203
A,298,524283.36,1115648.66,3475
A,298,524283.36,1115648.66,3475
A,299,938835.79,884116.66,128
A,299,938835.79,884116.66,128
A,300,721623.73,585620.88,2412
A,300,721623.73,585620.88,2412
A,301,1064594.84,985783.92,1108
A,301,1064594.84,985783.92,1108
A,302,877683.71,731802.6,1617
A,302,877683.71,731802.6,1617
A,303,1285771.88,886500.29,6445
A,303,1285771.88,886500.29,6445
A,304,1059531.69,1049637.25,1950
A,304,1059531.69,1049637.25,1950
A,305,1119988.78,990790.79,2057
A,305,1119988.78,990790.79,2057
A,306,1190791.59,889363.81,2486
A,306,1190791.59,889363.81,2486
A,307,949370.84,850018.92,1302
A,307,949370.84,850018.92,1302
A,308,608942.45,522690.12,1647
